mbid,lat,lon
33a29650-2e4c-471b-b2e5-f2613b02646e,45.5366,13.6602
33a29650-2e4c-471b-b2e5-f2613b02646e,45.539,13.6575
33a29650-2e4c-471b-b2e5-f2613b02646e,45.51123,13.65655
6c2c2263-674d-4eb9-9a8a-afa88ae8d9c3,47.233333333333,47.233333333333
fe7eeea1-8e8b-4dd8-a085-cebcd097067d,29.65529,91.137
84b5640d-60b3-4710-b315-c349aa754302,49.891666666667,10.891666666667
6ed50e09-b358-4d86-9c08-baf2f6956194,42.755,-7.8661111111111
7c6bafd2-ede8-4b20-b014-1cc9578fdcdd,45.388657,7.86652
2111cc19-acd7-48a2-9742-161751c9ea8a,-6.9766048,108.4849021
9e7d0bdc-925d-47f0-ac6b-2bccdcf4ef4e,-6.8800382,107.5385202
2a9506cb-e19d-47a1-9052-5f11cdc3273c,-6.56985,107.7628313
36009ce9-43fe-45b3-bda2-9fe9b6d074c9,47.049722222222,7.5069444444444
3723b003-18eb-446b-aa72-164de3f508d0,30.3244,-89.2472
e85081e3-283a-48a4-899d-829138b8c582,48.606944444444,-3.4480555555556
40a56626-6726-4a5d-8b4c-9ac9a19aa896,14.105713888889,-87.204008333333
b83bd8ff-6283-4d67-8a9f-52f52d1f5fbd,48.42,-122.32611111111
db7bbdf6-9385-4af8-a292-5c5431ccafc0,60.166666666667,10.3
7ee81b13-cc5f-400f-97e0-a0c24a4dd543,37.372222222222,-122.14444444444
33f49521-f754-43cf-8d7a-d9e336fe56e6,46.533333333333,6.6333333333333
430822d4-481e-461d-861d-8a3c90afa3be,45.590555555556,4.7688888888889
c5446ccc-24aa-4110-8130-38c97b5d83da,48.422151,-123.3657
9b74be71-764d-4114-b6d3-9632f3dca6e8,-18.475,-70.314444
2afd5d6a-5fee-3836-8783-44d0ec9ac115,-12.35,17.35
b86b7e97-c4e2-4ec2-942b-5a6cd8eea1da,50.733888888889,7.0997222222222
7c81bb69-a99b-3487-b6d4-0f76d7a29ca0,35.844722222222,103.45194444444
bc6f4b9a-3b76-33ca-bde3-2ae452afe66a,3.99886,-52.99994
7e6fbb87-7482-4481-a44c-ea0e7a17d0b2,44.801472222222,10.328
6c8d0c0d-9271-43f7-9bec-073855078417,43.095,-0.045277777777778
2293fb9d-6a6d-4aee-a730-266f08255144,59.208056,9.552778
fa807dcd-dc30-4c25-bf58-d905dfc6ba9d,56.326944444444,44.0075
a28074e0-3805-44a8-8024-758e1996b353,49.494444444444,10.794722222222
071830ed-b7ba-4c03-a805-c2d97dce6603,54.966666666667,73.383333333333
39d62198-1e76-4de4-b079-e86e3a393bbc,60.17556,24.93417
f97ce969-d604-4c3b-9e68-cc32569993e3,49.616666666667,6.0666666666667
7f996abe-449b-4209-a0f8-c6ba9105e5e7,45.740186111111,4.8194472222222
3c810219-baf2-4fff-b98c-46b425eea1f5,19.419444444444,-99.145555555556
ce209e56-cda5-358e-96db-830e3405b675,14.0,101.0
9f745572-f6a0-4e89-8aa8-fde17276c382,53.687222222222,9.6691666666667
